tweetLink,type,retweet_count,favorite_count,reply_count,quote_count,related_to,tweetDate,twitterId,handle,text,profileUrl,name,timestamp,query,type,isReply,replyTo,initialTweet,text_length,language,num_days_from_today,tweet_id
https://twitter.com/jblefevre60/status/1391441720102072322,RETWEET,17,0,0,0,1391403836544147461,"2021-05-09 17:15:32+00:00","4374719908.0","jblefevre60","RT @Xbond49: New #data report shows #fintech #investment in #Africa  on the rise https://t.co/Vf9ecW3pjr #finserv 

@SpirosMargaris @psb_dc…","https://twitter.com/jblefevre60","Jean-Baptiste Lefevre","2021-05-09T23:25:02.037Z","https://twitter.com/jblefevre60","tweets-replies","","","","17","en","1","14"
https://twitter.com/jblefevre60/status/1391441768730738688,RETWEET,33,0,0,0,1391400103324360707,"2021-05-09 17:15:44+00:00","4374719908.0","jblefevre60","RT @HaroldSinnott: These cities will see the greatest skyline transformations by 2025

@TheB1M
#SmartCities #DigitalTransformation #Futureo…","https://twitter.com/jblefevre60","Jean-Baptiste Lefevre","2021-05-09T23:25:02.037Z","https://twitter.com/jblefevre60","tweets-replies","","","","16","en","1","15"
https://twitter.com/jblefevre60/status/1391441782513229825,RETWEET,17,0,0,0,1391400098974900226,"2021-05-09 17:15:47+00:00","4374719908.0","jblefevre60","RT @ipfconline1: The Relationship Between Perplexity And Entropy In #NLP 

https://t.co/0k20rlvj5j via @topbots 

#AI #DeepLearning #DataSc…","https://twitter.com/jblefevre60","Jean-Baptiste Lefevre","2021-05-09T23:25:02.037Z","https://twitter.com/jblefevre60","tweets-replies","","","","16","en","1","16"
https://twitter.com/jblefevre60/status/1391441802763411465,RETWEET,13,0,0,0,1391392549819068416,"2021-05-09 17:15:52+00:00","4374719908.0","jblefevre60","RT @ipfconline1: #AI Makes Video Game After Watching Tennis Matches! 

https://t.co/edRdh1HFK0
#Research Paper via @CrossmindsAI 

#Machine…","https://twitter.com/jblefevre60","Jean-Baptiste Lefevre","2021-05-09T23:25:02.037Z","https://twitter.com/jblefevre60","tweets-replies","","","","16","en","1","17"
https://twitter.com/jblefevre60/status/1391441818387197959,RETWEET,17,0,0,0,1391389875161772040,"2021-05-09 17:15:55+00:00","4374719908.0","jblefevre60","RT @dinisguarda: #Imagination carry us to visible &amp; invisible world that we never visit before
Imagination &amp; #AI 
my #video #research
#well…","https://twitter.com/jblefevre60","Jean-Baptiste Lefevre","2021-05-09T23:25:02.037Z","https://twitter.com/jblefevre60","tweets-replies","","","","22","en","1","18"
https://twitter.com/jblefevre60/status/1391441878151741441,RETWEET,6,0,0,0,1391385478788698115,"2021-05-09 17:16:10+00:00","4374719908.0","jblefevre60","RT @ipfconline1: Experts Predict The Next Roadblocks In #AI

https://t.co/rrrViN6Vsq by @teamrework v/ @block_delta

#MachineLearning #Deep…","https://twitter.com/jblefevre60","Jean-Baptiste Lefevre","2021-05-09T23:25:02.037Z","https://twitter.com/jblefevre60","tweets-replies","","","","16","en","1","19"
https://twitter.com/jblefevre60/status/1391441890537578497,RETWEET,4,0,0,0,1391377929553186820,"2021-05-09 17:16:13+00:00","4374719908.0","jblefevre60","RT @ipfconline1: How does hydrogen turn into a metal?
👇
Hang on a second I need to train my #AI supercomputer 1st

https://t.co/2UsGoYNrN2…","https://twitter.com/jblefevre60","Jean-Baptiste Lefevre","2021-05-09T23:25:02.037Z","https://twitter.com/jblefevre60","tweets-replies","","","","23","en","1","20"
https://twitter.com/jblefevre60/status/1391335640755736578,RETWEET,13,0,0,0,1391327810363346946,"2021-05-09 10:14:01+00:00","4374719908.0","jblefevre60","RT @CurieuxExplorer: 13 fascinating facts you might not know about the #data you create!

🎥 @wef

@jblefevre60 @Nicochan33 @kalydeoo @FrRon…","https://twitter.com/jblefevre60","Jean-Baptiste Lefevre","2021-05-09T23:25:02.037Z","https://twitter.com/jblefevre60","tweets-replies","","","","20","en","1","21"
https://twitter.com/andi_staub/status/1391186666925199362,ORIGINAL,38,39,1,0,,"2021-05-09 00:22:03+00:00","298704683.0","andi_staub","Teaching #AI to See Like a Human

#datascience #machinelearning #deeplearning @fintech #bigdata @Fabriziobustama @ipfconline1 @jblefevre60 @enilev @CRudinschi @HaroldSinnott @terence_mills @globaliqx @SpirosMargaris @ahier @WhiteheartVic 

https://t.co/m4Sj5QKLkv https://t.co/f3JS5MRwNh","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","25","en","1","22"
https://twitter.com/andi_staub/status/1391194218429812742,ORIGINAL,20,13,0,1,,"2021-05-09 00:52:03+00:00","298704683.0","andi_staub","#BigTech’s guide to talking about #AI #ethics

#ML #DL #fintech #bigdata #diversity #sustainability @MariaFariello1 @WhiteheartVic @pierrepinna @missdkingsbury @pbucquet @YuHelenYu @SpirosMargaris @MiriamAsensi @enilev @terence_mills @sallyeaves 

https://t.co/uT8BhcRr2Y https://t.co/NhJSaeNem6","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","26","en","1","23"
https://twitter.com/andi_staub/status/1391201764100218884,ORIGINAL,7,3,1,0,,"2021-05-09 01:22:02+00:00","298704683.0","andi_staub","We are entering the greatest technological transition in history… and that will reshape geopolitics 

#sustainability #energy #renewables #AI #fintech @leimer @psb_dc @dinisguarda @terence_mills @SpirosMargaris @Damien_CABADI @sallyeaves @sbmeunier 

https://t.co/xwGLceKVIr https://t.co/KwRCT3d0nh","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","29","en","1","24"
https://twitter.com/andi_staub/status/1391514797582295046,RETWEET,12,0,0,0,1391378014806622216,"2021-05-09 22:05:55+00:00","298704683.0","andi_staub","RT @terence_mills: Six Proven Applications of #ArtificialIntelligence in Business
#AI #AIio #BigData #ML #NLU #Futureofwork

@DeepLearn007…","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","16","en","1","25"
https://twitter.com/andi_staub/status/1391514760110301186,RETWEET,5,0,0,0,1391389175929315334,"2021-05-09 22:05:46+00:00","298704683.0","andi_staub","RT @albertogaruccio: Open Banking is poised to drive innovation | Banking | Fintech Magazine - FinTech Magazine - The FinTech &amp; InsurTech P…","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","23","en","1","26"
https://twitter.com/andi_staub/status/1391514730070790149,RETWEET,17,0,0,0,1391389875161772040,"2021-05-09 22:05:39+00:00","298704683.0","andi_staub","RT @dinisguarda: #Imagination carry us to visible &amp; invisible world that we never visit before
Imagination &amp; #AI 
my #video #research
#well…","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","22","en","1","27"
https://twitter.com/andi_staub/status/1391514683761434624,RETWEET,25,0,0,0,1391415426702270473,"2021-05-09 22:05:28+00:00","298704683.0","andi_staub","RT @ipfconline1: How #NeuralNetworks Work (From The Brain To Artificial Intelligence) 

https://t.co/iOCV3utxwe [Video]

#AI #DataScience #…","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","16","en","1","28"
https://twitter.com/andi_staub/status/1391514623820681218,RETWEET,11,0,0,0,1391437850323914758,"2021-05-09 22:05:14+00:00","298704683.0","andi_staub","RT @HaroldSinnott: What Is #5G ? 

Where Is 5G Available?

Is 5G Safe?

via @PCMag
https://t.co/s1ohGewIS6

#DigitalTransformation #FutureO…","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","18","en","1","29"
https://twitter.com/andi_staub/status/1391514566333501441,RETWEET,87,0,0,0,1391445723196141579,"2021-05-09 22:05:00+00:00","298704683.0","andi_staub","RT @jblefevre60: 💥 What the Tech giants know about your personal #data!

#AI #MachineLearning #BigData #privacy @VisualCap

@SpirosMargaris…","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","18","en","1","30"
https://twitter.com/andi_staub/status/1391514520540090371,RETWEET,15,0,0,0,1391449454943875074,"2021-05-09 22:04:49+00:00","298704683.0","andi_staub","RT @YuHelenYu: #sundayvibes Here is recommendation from @Gartner_inc on #AI ethics.  Do you agree?
@dinisguarda @rwang0 @andi_staub @ipfcon…","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","18","en","1","31"
https://twitter.com/andi_staub/status/1391514474213953541,RETWEET,36,0,0,0,1391452926191747078,"2021-05-09 22:04:38+00:00","298704683.0","andi_staub","RT @HaroldSinnott: 😲 100+ #MachineLearning Algorithms in One Pic

#ArtificialIntelligence #DeepLearning #100DaysOfMLCode #javascript #autom…","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","14","en","1","32"
https://twitter.com/andi_staub/status/1391514357469753350,RETWEET,11,0,0,0,1391486900872097798,"2021-05-09 22:04:10+00:00","298704683.0","andi_staub","RT @ipfconline1: 7 Types of Data Bias in #MachineLearning

https://t.co/U65Lvx7UUA @Hent03 via @LionbridgeAI

#DataScience #AI #AIEthics
Cc…","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","17","en","1","33"
https://twitter.com/jblefevre60/status/1391441901811798020,RETWEET,15,0,0,0,1391370630428336131,"2021-05-09 17:16:15+00:00","4374719908.0","jblefevre60","RT @ipfconline1: Which BI Systems Are The Most Popular With Users?

https://t.co/eVZIrErlo2 by @LouisColumbus via @forbes 
#DigitalTransfor…","https://twitter.com/jblefevre60","Jean-Baptiste Lefevre","2021-05-09T23:25:02.037Z","https://twitter.com/jblefevre60","tweets-replies","","","","17","en","1","34"
https://twitter.com/andi_staub/status/1391357071963078656,RETWEET,13,0,0,0,1391304452318056450,"2021-05-09 11:39:10+00:00","298704683.0","andi_staub","RT @MariaFariello1: The #Data Opportunity: the Emergence of a New Layer in Modern Enterprise

https://t.co/t4LU8LHo6G
#EnterpriseTech #Data…","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","17","en","1","35"
https://twitter.com/mmbronstein/status/1391350321377644548,RETWEET,30,0,0,0,1391081777876373509,"2021-05-09 11:12:21+00:00","62044012.0","mmbronstein","RT @OdedRechavi: When the first author graduates during the revisions https://t.co/upCcUVZtbY","https://twitter.com/mmbronstein","Michael Bronstein","2021-05-09T23:05:37.635Z","https://twitter.com/mmbronstein","tweets-replies","","","","11","en","1","36"
https://twitter.com/mmbronstein/status/1391351557514534913,RETWEET,158,0,0,0,1390923440945725442,"2021-05-09 11:17:16+00:00","62044012.0","mmbronstein","RT @docmilanfar: Six mathematical objects you don't need 

1. Klein Wine Bottle
Which you have to pour from the bottom https://t.co/4JnVLys…","https://twitter.com/mmbronstein","Michael Bronstein","2021-05-09T23:05:37.635Z","https://twitter.com/mmbronstein","tweets-replies","","","","21","en","1","37"
https://twitter.com/andi_staub/status/1391266194141990913,ORIGINAL,9,9,0,0,,"2021-05-09 05:38:03+00:00","298704683.0","andi_staub","#WeekendRead by @EllaAlderson2

This Material Could Spark a Technological Revolution

#science #education #physics #tech @ipfconline1 @HaroldSinnott @SabineVdL @DeepLearn007 @leimer @sbmeunier @guzmand @UrsBolt @chboursin @SpirosMargaris @Fabriziobustama

https://t.co/pXRhrGoIkn https://t.co/Jn05mdVx1u","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","27","en","1","38"
https://twitter.com/andi_staub/status/1391258643903954946,ORIGINAL,14,18,0,0,,"2021-05-09 05:08:03+00:00","298704683.0","andi_staub","Adopting a #Society50 philosophy to ease city living

#SmartCities #AI #bigdata #5G #fintech @CRudinschi @jblefevre60 @ipfconline1 @Fabriziobustama @SpirosMargaris @floriansemle @Xbond49 @Paula_Piccard @YuHelenYu @helene_wpli @sebbourguignon 

via @techhq https://t.co/N9X6cwOfmV https://t.co/EVwDszJJfR","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","28","en","1","39"
https://twitter.com/andi_staub/status/1391250590274101250,ORIGINAL,20,19,1,1,,"2021-05-09 04:36:03+00:00","298704683.0","andi_staub","[great study]

Impact of Industry 4.0 on #Sustainability

#4IR #IoT #AI #bigdata #robotics #fintech #SDG #innovation @floriansemle @sallyeaves @SpirosMargaris @SabineVdL @guzmand @psb_dc @chboursin @MariaFariello1 @CRudinschi @pierrepinna @jblefevre60 

https://t.co/7dqcg7tZws https://t.co/UnudpFXafv","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","29","en","1","40"
https://twitter.com/andi_staub/status/1391243291807584259,ORIGINAL,40,23,1,0,,"2021-05-09 04:07:03+00:00","298704683.0","andi_staub","The Future of #DeepLearning Can Be Broken Down Into These 3 Learning Paradigms

#AI #datascience #fintech #bigdata @ipfconline1 @Fabriziobustama @HaroldSinnott @mvollmer1 @globaliqx @FinMKTG @FmFrancoise @jblefevre60 @kalydeoo @Damien_CABADI @Xbond49 

https://t.co/iySvDoI3gd https://t.co/dP4Wm52Kf7","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","30","en","1","41"
https://twitter.com/andi_staub/status/1391235488946741253,ORIGINAL,20,21,0,0,,"2021-05-09 03:36:03+00:00","298704683.0","andi_staub","Voice Tech Trends in 2021

#AI #voicefirst #chatbots #ConverationalAI #fintech #insurtech #cybersecurity @ipfconline1 @KMcDTech @jblefevre60 @JimMarous @YuHelenYu @floriansemle @sebbourguignon @YvesMulkers @SpirosMargaris @HaroldSinnott @mvollmer1 

https://t.co/ksQeF8ednI https://t.co/zbb6awNmGD","https://twitter.com/andi_staub","Andreas Staub","2021-05-09T23:14:41.375Z","https://twitter.com/andi_staub","tweets-replies","","","","25","en","1","42"
